Date,stock,oil,bond,dollar,gold
2019-09-25,2984.87,47.31,127.859375,99.013,1504.05
2019-09-26,2977.62,47.37,128.1875,99.206,1504.78
2019-09-27,2961.79,46.85,128.21875,99.126,1497.01
2019-09-30,2976.74,45.97,128.296875,99.392,1472.49
2019-10-01,2940.25,45.8,128.625,99.168,1479.14
2019-10-02,2887.61,44.5,129.015625,99.02,1499.45
2019-10-03,2910.63,44.57,129.640625,98.912,1505.19
2019-10-04,2952.01,45.2,129.65625,98.84,1504.66
2019-10-07,2938.79,45.21,129.40625,98.982,1493.5
2019-10-08,2893.06,44.96,129.65625,99.116,1505.51
2019-10-09,2919.4,45.11,129.234375,99.11,1505.57
2019-10-10,2938.13,46.05,128.53125,98.691,1493.99
2019-10-11,2970.27,46.94,128.015625,98.332,1489.01
2019-10-14,2966.15,45.76,128.21875,98.434,1493.21
2019-10-15,2995.68,45.56,127.6875,98.308,1481.01
2019-10-16,2989.69,45.69,127.984375,98.01,1490.13
2019-10-17,2997.95,46.3,127.84375,97.558,1491.87
